IMPLEMENTATION,RUN_IN_FILE,MESSAGES_SENT,COMMIT_TIME
tikv,1,2000,0.0015736602739962109
tikv,2,2000,0.001588036925513734
tikv,3,2000,0.0019430709750340612
tikv,4,2000,0.0014890532579975115
tikv,5,2000,0.0014470072154963418
tikv,6,2000,0.0014469113814539014
tikv,7,2000,0.0014400772534863791
tikv,8,2000,0.001454755419479625
tikv,9,2000,0.0014679312149601174
tikv,10,2000,0.0014524527745197703
