IMPLEMENTATION,RUN_IN_FILE,MESSAGES_SENT,COMMIT_TIME,CPU_UTIL,MAX_MEM,LOG_SIZE
hashicorp,1,2000,0.00011918538350000032,10.047468354430842,4.40625,121.0
hashicorp,2,2000,0.00011868861649999992,10.115830115829548,4.4375,121.0
hashicorp,3,2000,0.00011776311499999995,9.73926380368033,4.4267578125,121.0
hashicorp,4,2000,0.00011922696350000007,10.133542812254865,4.337890625,121.0
hashicorp,5,2000,0.0001190185594999999,10.071371927041566,4.375,121.0
hashicorp,6,2000,0.00011872034399999974,9.852598913884398,4.25,121.0
hashicorp,7,2000,0.00012056299849999986,10.086682427106108,4.5625,121.0
hashicorp,8,2000,0.00011855063650000043,9.98452012384036,4.380859375,121.0
hashicorp,9,2000,0.00011881044399999994,10.03891050583487,4.3125,121.0
hashicorp,10,2000,0.00011869034899999987,9.969088098919093,4.3125,121.0
