IMPLEMENTATION,RUN_IN_FILE,MESSAGES_SENT,COMMIT_TIME,CPU_UTIL,MAX_MEM,LOG_SIZE
hashicorp,1,10000,0.0,10.982286634462092,3.158203125,73.0
hashicorp,2,10000,0.0,11.136738056013714,3.1953125,73.0
hashicorp,3,10000,0.00011396752370000014,19.360902255640156,6.837890625,121.0
hashicorp,4,10000,0.00011366247549999995,19.496062992125985,7.115234375,121.0
hashicorp,5,10000,0.00011894452750000046,20.11852776045062,6.8623046875,121.0
hashicorp,6,10000,0.00012085146809999976,20.092165898615715,6.8271484375,121.0
