IMPLEMENTATION,RUN_IN_FILE,MESSAGES_SENT,COMMIT_TIME,CPU_UTIL,MAX_MEM,LOG_SIZE
hashicorp.skeleton,1,10000,0.0,10.916886543535725,3.1884765625,73.0
hashicorp.skeleton,2,10000,0.0,11.015831134564749,3.1767578125,73.0
